Trs_Id,Company_Nm,trips,query,Agency,Adoption_or_today,Status
0001,King County Department of Transportation - Metro Transit Division,94982735,"Seattle, WA",King County Department of Transportation - Metro Transit Division,Sep-06,1
0002,Spokane Transit Authority,7688002,"Spokane, WA",NA,NA,NA
0003,Pierce County Transportation Benefit Area Authority,12245514,"Tacoma, WA","Pierce County Transportation Benefit Area Authority, dba: Pierce Transit",Feb-15,1
0005,Everett Transit,1957478,"Everett, WA",NA,NA,NA
0006,Yakima Transit,1083488,"Yakima, WA",NA,NA,NA
0007,Lane Transit District,8348879,"Eugene, OR",Lane Transit District,Sep-06,1
0008,Tri-County Metropolitan Transportation District of Oregon,103519979,"Portland, OR","Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Dec-05,1
0011,ValleyRide,1070708,"Meridian, ID",Ventura County Transportation Commission,Sep-16,1
0012,Municipality of Anchorage - Public Transportation Department,3975074,"Anchorage, AK",NA,NA,NA
0016,Community Urban Bus Service,322273,"Longview, WA",NA,NA,NA
0018,Ben Franklin Transit,3066920,"Richland, WA",NA,NA,NA
0019,Intercity Transit,2869758,"Olympia, WA",NA,NA,NA
0020,Kitsap Transit,4580938,"Bremerton, WA",NA,NA,NA
0021,Whatcom Transportation Authority,3382349,"Bellingham, WA",NA,NA,NA
0022,City of Pocatello - Pocatello Regional Transit,431111,"Pocatello, ID",NA,NA,NA
0023,City of Seattle - Seattle Center Monorail Transit,1506240,"Seattle, WA",NA,NA,NA
0024,Clark County Public Transportation Benefit Area Authority,5614951,"Vancouver, WA",NA,NA,NA
0025,Salem Area Mass Transit District,5412915,"Salem, OR",NA,NA,NA
0028,Pierce County Ferry Operations,212541,"Tacoma, WA",NA,NA,NA
0029,Snohomish County Transportation Benefit Area Corporation,8219785,"Everett, WA",NA,NA,NA
0034,Rogue Valley Transportation District,1182925,"Medford, OR",NA,NA,NA
0035,Washington State Ferries,23880997,"Seattle, WA",NA,NA,NA
0040,Central Puget Sound Regional Transit Authority,10968661,"Seattle, WA",NA,NA,NA
0041,Alaska Railroad Corporation,144620,"Anchorage, AK",NA,NA,NA
0043,Link Transit,710952,"Wenatchee, WA",NA,NA,NA
0044,Skagit Transit,269053,"Burlington, WA",NA,NA,NA
0045,Fairbanks North Star Borough Transit,399056,"Fairbanks, AK",NA,NA,NA
0046,South Metro Area Rapid Transit,247726,"Wilsonville, OR",NA,NA,NA
1001,Rhode Island Public Transit Authority,18612675,"Providence, RI",NA,NA,NA
1002,Manchester Transit Authority,412386,"Manchester, NH",NA,NA,NA
1003,Massachusetts Bay Transportation Authority,393515140,"Boston, MA",NA,NA,NA
1004,Brockton Area Transit Authority,3020216,"Brockton, MA",NA,NA,NA
1005,Lowell Regional Transit Authority,1417934,"Lowell, MA",NA,NA,NA
1006,Southeastern Regional Transit Authority,1610179,"New Bedford, MA",NA,NA,NA
1007,Berkshire Regional Transit Authority,508776,"Pittsfield, MA",NA,NA,NA
1008,Pioneer Valley Transit Authority,9746629,"Springfield, MA",NA,NA,NA
1013,Merrimack Valley Regional Transit Authority,1603296,"Haverhill, MA",NA,NA,NA
1014,Worcester Regional Transit Authority,2567983,"Worcester, MA",NA,NA,NA
1016,Greater Portland Transit District,1360010,"Portland, ME",NA,NA,NA
1040,Southeast Area Transit,931992,"Preston, CT",NA,NA,NA
1048,Connecticut Transit - Hartford Division,12508700,"Hartford, CT",NA,NA,NA
1049,The Greater New Haven Transit District,93029,"Hamden, CT",NA,NA,NA
