Company_Nm,trips,query,twitter_Nm,twitter_handle,date,link,following,followers,verified,dedicated,extra_twitter_Nm,extra_twitter_hd,ext_date,ext_link,following,followers,verified,,,,,,,
Alameda-Contra Costa Transit District,64600740,"Oakland, CA",AC Transit,rideact,Oct-08,https://twitter.com/rideact,470,11400,0,1,AC Transit Service Alerts,RideACTAlerts,Mar-22,https://twitter.com/RideACTAlerts,18,272,0,,,,,,,
Antelope Valley Transit Authority,2669356,"Lancaster, CA",AVTA,AVTA1,Feb-12,https://twitter.com/AVTA1,191,1032,0,1,,,,,,,,,,,,,,
Capital District Transportation Authority,11691153,"Albany, NY",CDTA,CDTA,Mar-09,https://twitter.com/CDTA,969,3848,0,1,,,,,,,,,,,,,,
Cities Area Transit,256180,"Grand Forks, ND",Cities Area Transit,RideCATGF,Aug-16,https://twitter.com/RideCATGF,128,89,0,1,,,,,,,,,,,,,,
City and County of Honolulu Department of Transportation Services,67406827,"Honolulu, HI",Transportation HNL,hnldts,Mar-09,https://twitter.com/hnldts,323,1964,0,1,,,,,,,,,,,,,,
City of Harrisonburg Department of Public Transportation,1130165,"Harrisonburg, VA",HDPT,rideHDPT,Jun-13,https://twitter.com/rideHDPT,226,2196,0,1,,,,,,,,,,,,,,
City of Santa Rosa,2605975,"Santa Rosa, CA",City of Santa Rosa,CityofSantaRosa,Mar-10,https://twitter.com/CityofSantaRosa,84,15700,1,0,,,,,,,,,,,,,,
City of Waukesha Transit Commission,1258629,"Waukesha, WI",cityofwaukesha,CityofWaukesha,Apr-16,https://twitter.com/CityofWaukesha,227,4931,0,0,,,,,,,,,,,,,,
Coast Transit Authority,490705,"Gulfport, MS",City of Gulfport,CityofGulfport,Jun-09,https://twitter.com/CityofGulfport,188,9342,1,0,,,,,,,,,,,,,,
Connecticut Department of Transportation,600740,"Newington, CT",Connecticut Department of Transportation,CTDOTOfficial,May-20,https://twitter.com/CTDOTOfficial,458,3808,1,1,Statewide CTDOT,CTDOT_Statewide,Dec-09,https://twitter.com/CTDOT_Statewide,1,14100,0,CT Highway Safety,Cthighwaysafety,Dec-12,https://twitter.com/Cthighwaysafety,270,714,0
Escambia County Area Transit,1215737,"Pensacola, FL",My Escambia,myescambia,May-09,https://twitter.com/myescambia,124,9815,0,0,,,,,,,,,,,,,,
Interurban Transit Partnership,6069439,"Grand Rapids, MI",The Rapid,TheRapid,Jan-09,https://twitter.com/TheRapid,586,5923,0,1,,,,,,,,,,,,,,
"Johnson County Kansas, aka: Johnson County Transit",305779,"Olathe, KS",RideKC JoCo,RideKCJoCo,Feb-09,https://twitter.com/RideKCJoCo,436,2257,0,1,,,,,,,,,,,,,,
King County Department of Transportation - Metro Transit Division,94982735,"Seattle, WA",King County Metro,KingCountyMetro,Dec-09,https://twitter.com/KingCountyMetro,508,130400,1,1,King County Metro Transit Alerts,kcmetroalerts,Jul-10,https://twitter.com/kcmetroalerts,1,1037,0,,,,,,,
Laketran,661603,"Grand River, OH",Laketran,Laketran,Dec-10,https://twitter.com/Laketran,771,1208,0,1,,,,,,,,,,,,,,
Lane Transit District,8348879,"Eugene, OR",,,,,,,,,,,,,,,,,,,,,,
Madison County Transit District,1885577,"Granite City, IL",,,,,,,,,,,,,,,,,,,,,,
Manatee County Area Transit,1304637,"Bradenton, FL",,,,,,,,,,,,,,,,,,,,,,
MTA New York City Transit,2756452297,"New York, NY",,,,,,,,,,,,,,,,,,,,,,
Pace - Suburban Bus Division,33769583,"Arlington Heights, IL",,,,,,,,,,,,,,,,,,,,,,
Pierce County Transportation Benefit Area Authority,12245514,"Tacoma, WA",,,,,,,,,,,,,,,,,,,,,,
"Regional Public Transportation Authority, dba: Valley Metro",6366799,"Phoenix, AZ",,,,,,,,,,,,,,,,,,,,,,
Rock Island County Metropolitan Mass Transit District,2346775,"Rock Island, IL",,,,,,,,,,,,,,,,,,,,,,
Sacramento Regional Transit District,30937994,"Sacramento, CA",,,,,,,,,,,,,,,,,,,,,,
San Joaquin Regional Transit District,3922295,"Stockton, CA",,,,,,,,,,,,,,,,,,,,,,
Tri-County Metropolitan Transportation District of Oregon,103519979,"Portland, OR",,,,,,,,,,,,,,,,,,,,,,
Kalamazoo Metro Transit System,2821101,"Kalamazoo, MI",,,,,,,,,,,,,,,,,,,,,,
Rhode Island Public Transit Authority,18612675,"Providence, RI",,,,,,,,,,,,,,,,,,,,,,
Des Moines Metropolitan Transit Authority,3809648,"Des Moines, IA",,,,,,,,,,,,,,,,,,,,,,
Long Beach Transit,26964674,"Long Beach, CA",,,,,,,,,,,,,,,,,,,,,,
Fresno Area Express,11241838,"Fresno, CA",,,,,,,,,,,,,,,,,,,,,,
Port Authority of Allegheny County,67179046,"Pittsburgh, PA",,,,,,,,,,,,,,,,,,,,,,
Hillsborough Area Regional Transit Authority,11606920,"Tampa, FL",,,,,,,,,,,,,,,,,,,,,,
City of Jackson Transit System,761766,"Jackson, MS",,,,,,,,,,,,,,,,,,,,,,
City of Jackson Transportation Authority,513072,"Jackson, MI",,,,,,,,,,,,,,,,,,,,,,
Eau Claire Transit,1177002,"Eau Claire, WI",,,,,,,,,,,,,,,,,,,,,,
Beaver County Transit Authority,578666,"Rochester, PA",,,,,,,,,,,,,,,,,,,,,,
"San Diego Trolley, Inc.",29334362,"San Diego, CA",,,,,,,,,,,,,,,,,,,,,,
Suburban Mobility Authority for Regional Transportation,9865876,"Detroit, MI",,,,,,,,,,,,,,,,,,,,,,
DeCamp Bus Lines,2195276,"Montclair, NJ",,,,,,,,,,,,,,,,,,,,,,
Santa Cruz Metropolitan Transit District,5523072,"Santa Cruz, CA",,,,,,,,,,,,,,,,,,,,,,
Central Ohio Transit Authority,14625379,"Columbus, OH",,,,,,,,,,,,,,,,,,,,,,
"Olympia Trails Bus Company, Inc.",672454,"Elizabeth, NJ",,,,,,,,,,,,,,,,,,,,,,
Santa Monica's Big Blue Bus,20543294,"Santa Monica, CA",,,,,,,,,,,,,,,,,,,,,,
NC State University Transportation Department,1767209,"Raleigh, NC",,,,,,,,,,,,,,,,,,,,,,
Westchester County Bee-Line System,24947454,"Mount Vernon, NY",,,,,,,,,,,,,,,,,,,,,,
St. Joseph Transit,289616,"St. Joseph, MO",,,,,,,,,,,,,,,,,,,,,,
Waccamaw Regional Transportation Authority,627254,"Conway, SC",,,,,,,,,,,,,,,,,,,,,,
Northern New England Passenger Rail Authority,250535,"Portland, ME",,,,,,,,,,,,,,,,,,,,,,
Missouri State University,756464,"Springfield, MO",,,,,,,,,,,,,,,,,,,,,,
Lee-Russell Council of Governments,57404,"Opelika, AL",,,,,,,,,,,,,,,,,,,,,,
Connecticut Transit - Stamford Division,2809704,"Hartford, CT",,,,,,,,,,,,,,,,,,,,,,
Fort Smith Transit,178446,"Fort Smith, AR",,,,,,,,,,,,,,,,,,,,,,
Chatham Area Transit Authority,3813154,"Savannah, GA",,,,,,,,,,,,,,,,,,,,,,
Chemung County Transit System,534746,"Elmira, NY",,,,,,,,,,,,,,,,,,,,,,
City of Dubuque,534546,"Dubuque, IA",,,,,,,,,,,,,,,,,,,,,,
Putnam County Transit,185328,"Carmel, NY",,,,,,,,,,,,,,,,,,,,,,
Fargo Metropolitan Area Transit,837651,"Fargo, ND",,,,,,,,,,,,,,,,,,,,,,
Spokane Transit Authority,7688002,"Spokane, WA",,,,,,,,,,,,,,,,,,,,,,
Butler County Regional Transit Authority,12900,"Hamilton, OH",,,,,,,,,,,,,,,,,,,,,,
Shenango Valley Shuttle Service,122476,"Hermitage, PA",,,,,,,,,,,,,,,,,,,,,,
Livermore / Amador Valley Transit Authority,1944493,"Livermore, CA",,,,,,,,,,,,,,,,,,,,,,
