"","Company_Nm","agency","date","lon","lat"
"1","Alameda-Contra Costa Transit District","Alameda-Contra Costa Transit District, Oakland, CA","26-Jun-11",-122.2711639,37.8043514
"2","Antelope Valley Transit Authority","Antelope Valley Transit Authority, Lancaster, CA","3-May-21",-118.166995,34.704167
"3","Capital District Transportation Authority","Capital District Transportation Authority, Albany, NY","5-Sep-13",-73.7804789,42.6780904
"4","Cities Area Transit","Cities Area Transit, Grand Forks, ND","31-Dec-16",-97.0319737,47.924547
"5","City and County of Honolulu Department of Transportation Services","City and County of Honolulu Department of Transportation Services, Honolulu, HI","15-Sep-06",-157.8547884,21.3042128
"6","City of Harrisonburg Department of Public Transportation","City of Harrisonburg Department of Public Transportation, Harrisonburg, VA","1-Aug-15",-78.8521154,38.4538611
"7","City of Santa Rosa","City of Santa Rosa, Santa Rosa, CA","5-Aug-10",-122.7115083,38.4379389
"8","City of Waukesha Transit Commission","City of Waukesha Transit Commission, Waukesha, WI","1-Nov-14",-88.2314813,43.0116784
"9","Coast Transit Authority","Coast Transit Authority, Gulfport, MS","30-Jun-22",-89.0020599,30.403205
"10","Connecticut Department of Transportation","Connecticut Department of Transportation, Newington, CT","24-Oct-11",-72.7145735,41.6732505
"11","Escambia County Area Transit","Escambia County Area Transit, Pensacola, FL","1-Aug-15",-87.2351145,30.4446502
"12","Interurban Transit Partnership","Interurban Transit Partnership, Grand Rapids, MI","15-Dec-14",-85.6680863,42.9633599
"13","Johnson County Kansas, aka: Johnson County Transit","Johnson County Kansas, aka: Johnson County Transit, Olathe, KS","1-Jan-13",-94.8448333,38.8639984
"14","King County Department of Transportation - Metro Transit Division","King County Department of Transportation - Metro Transit Division, Seattle, WA","15-Sep-06",-122.323637,47.54487
"15","Laketran","Laketran, Grand River, OH","1-Jan-16",-81.2812144,41.7361547
"16","Lane Transit District","Lane Transit District, Eugene, OR","15-Sep-06",-123.0929899,44.0478658
"17","Madison County Transit District","Madison County Transit District, Granite City, IL","13-Jan-19",-90.1487199,38.7014389
"18","Manatee County Area Transit","Manatee County Area Transit, Bradenton, FL","1-Jan-12",-82.53531,27.40545
"19","MTA New York City Transit","MTA New York City Transit, New York, NY","3-Jan-10",-74.013116,40.7045247
"20","Pace - Suburban Bus Division","Pace - Suburban Bus Division, Arlington Heights, IL","2-Jan-11",-87.9876928,42.0479248
"21","Pierce County Transportation Benefit Area Authority","Pierce County Transportation Benefit Area Authority, Tacoma, WA","15-Feb-15",-122.4007917,47.1578537
"22","Regional Public Transportation Authority, dba: Valley Metro","Regional Public Transportation Authority, dba: Valley Metro, Phoenix, AZ","26-Oct-13",-112.0740373,33.4483771
"23","Rock Island County Metropolitan Mass Transit District","Rock Island County Metropolitan Mass Transit District, Rock Island, IL","25-Jul-16",-90.5787476,41.5094771
"24","Sacramento Regional Transit District","Sacramento Regional Transit District, Sacramento, CA","31-Aug-08",-121.4943996,38.5815719
"25","San Joaquin Regional Transit District","San Joaquin Regional Transit District, Stockton, CA","23-Jan-11",-121.285518,37.9547127
"26","Tri-County Metropolitan Transportation District of Oregon","Tri-County Metropolitan Transportation District of Oregon, Portland, OR","7-Dec-05",-122.6783853,45.515232
"27","Kalamazoo Metro Transit System","Kalamazoo Metro Transit System, Kalamazoo, MI","3-Sep-07",-85.5872286,42.2917069
"28","Rhode Island Public Transit Authority","Rhode Island Public Transit Authority, Providence, RI","3-Apr-12",-71.4238412,41.79228
"29","Des Moines Metropolitan Transit Authority","Des Moines Metropolitan Transit Authority, Des Moines, IA","22-Feb-15",-93.616665,41.599686
"30","Long Beach Transit","Long Beach Transit, Long Beach, CA","7-Feb-16",-118.1683239,33.7828342
"31","Fresno Area Express","Fresno Area Express, Fresno, CA","1-Jul-13",-119.7902396,36.7828891
"32","Port Authority of Allegheny County","Port Authority of Allegheny County, Pittsburgh, PA","15-Sep-06",-79.9942394,40.4420059
"33","Hillsborough Area Regional Transit Authority","Hillsborough Area Regional Transit Authority, Tampa, FL","15-Sep-06",-82.446239,27.9598031
"34","City of Jackson Transit System","City of Jackson Transit System, Jackson, MS","1-Jan-15",-90.201243,32.292963
"35","City of Jackson Transportation Authority","City of Jackson Transportation Authority, Jackson, MI","30-Jun-22",-84.3686294,42.2321472
"36","Eau Claire Transit","Eau Claire Transit, Eau Claire, WI","1-Jan-13",-91.5065765,44.82238
"37","Beaver County Transit Authority","Beaver County Transit Authority, Rochester, PA","24-Mar-16",-80.2846139,40.7009881
"38","San Diego Trolley, Inc.","San Diego Trolley, Inc., San Diego, CA","1-Sep-13",-117.1515426,32.7030334
"39","Suburban Mobility Authority for Regional Transportation","Suburban Mobility Authority for Regional Transportation, Detroit, MI","5-Sep-16",-83.0457538,42.331427
"40","DeCamp Bus Lines","DeCamp Bus Lines, Montclair, NJ","30-Jun-22",-74.2098648,40.815348
"41","Santa Cruz Metropolitan Transit District","Santa Cruz Metropolitan Transit District, Santa Cruz, CA","1-Sep-11",-122.0310368,36.9899044
"42","Central Ohio Transit Authority","Central Ohio Transit Authority, Columbus, OH","6-Sep-10",-83.0411453,39.9645195
"43","Olympia Trails Bus Company, Inc.","Olympia Trails Bus Company, Inc., Elizabeth, NJ","30-Jun-22",-74.2107006,40.6639916
"44","Santa Monica's Big Blue Bus","Santa Monica's Big Blue Bus, Santa Monica, CA","16-Sep-12",-118.4911912,34.0194543
"45","NC State University Transportation Department","NC State University Transportation Department, Raleigh, NC","1-Nov-10",-78.6831476,35.7874126
"46","Westchester County Bee-Line System","Westchester County Bee-Line System, Mount Vernon, NY","22-Dec-09",-73.8337576,40.9115232
"47","St. Joseph Transit","St. Joseph Transit, St. Joseph, MO","30-Jun-22",-94.854547,39.761772
"48","Waccamaw Regional Transportation Authority","Waccamaw Regional Transportation Authority, Conway, SC","30-Jun-22",-79.0478143,33.8360034
"49","Northern New England Passenger Rail Authority","Northern New England Passenger Rail Authority, Portland, ME","30-Jun-22",-70.2695701,43.6518161
"50","Missouri State University","Missouri State University, Springfield, MO","30-Jun-22",-93.2806806,37.2005546
"51","Lee-Russell Council of Governments","Lee-Russell Council of Governments, Opelika, AL","30-Jun-22",-85.403656,32.6255455
"52","Connecticut Transit - Stamford Division","Connecticut Transit - Stamford Division, Hartford, CT","20-Jul-14",-72.6733723,41.7658043
"53","Fort Smith Transit","Fort Smith Transit, Fort Smith, AR","30-Jun-22",-94.4209646,35.3843722
"54","Chatham Area Transit Authority","Chatham Area Transit Authority, Savannah, GA","7-Nov-16",-81.1001088,32.0792723
"55","Chemung County Transit System","Chemung County Transit System, Elmira, NY","29-Oct-18",-76.8121638,42.106463
"56","City of Dubuque","City of Dubuque, Dubuque, IA","14-Aug-17",-90.6703512,42.5027204
"57","Putnam County Transit","Putnam County Transit, Carmel, NY","1-Jun-20",-73.6589736,41.4096565
"58","Fargo Metropolitan Area Transit","Fargo Metropolitan Area Transit, Fargo, ND","20-Apr-16",-96.7851388,46.8809812
"59","Spokane Transit Authority","Spokane Transit Authority, Spokane, WA","19-Sep-10",-117.4305524,47.6671559
"60","Butler County Regional Transit Authority","Butler County Regional Transit Authority, Hamilton, OH","19-May-19",-84.5613355,39.3995008
"61","Shenango Valley Shuttle Service","Shenango Valley Shuttle Service, Hermitage, PA","30-Jun-22",-80.4633892,41.2394904
"62","Livermore / Amador Valley Transit Authority","Livermore / Amador Valley Transit Authority, Livermore, CA","23-Jan-16",-121.7684732,37.6818688
"63","Terre Haute Transit Utility","Terre Haute Transit Utility, Terre Haute, IN","1-Jan-15",-87.4139092,39.4667034
"64","The Tri-State Transit Authority","The Tri-State Transit Authority, Huntington, WV","30-Jun-22",-82.477147,38.415431
"65","Riverside Transit Agency","Riverside Transit Agency, Riverside, CA","30-Jun-11",-117.3509544,33.9833885
"66","Greater Peoria Mass Transit District","Greater Peoria Mass Transit District, Peoria, IL","1-Sep-16",-89.5943864,40.6892997
"67","Greater Roanoke Transit Company","Greater Roanoke Transit Company, Roanoke, VA","1-Jan-13",-79.926689,37.2750257
"68","City of Tucson","City of Tucson, Tucson, AZ","3-Nov-15",-111.0160881,32.2358463
"69","City of Middletown - Middletown Transit System","City of Middletown - Middletown Transit System, Middletown, OH","30-Jun-22",-84.4035192,39.5153775
"70","Hudson Transit Lines, Inc.","Hudson Transit Lines, Inc., Mahwah, NJ","12-Oct-09",-74.1615008,41.1035174
"71","Great Falls Transit District","Great Falls Transit District, Great Falls, MT","30-Jun-22",-111.2390904,47.5189107
"72","Green Bay Metro","Green Bay Metro, Green Bay, WI","1-Jan-07",-88.0018488,44.5170061
"73","New Jersey Transit Corporation","New Jersey Transit Corporation, Newark, NJ","25-Jul-08",-74.1723667,40.735657
"74","Rapid Transit System","Rapid Transit System, Rapid City, SD","30-Jun-22",-103.2310149,44.0805434
"75","Council on Aging of Martin County, Inc.","Council on Aging of Martin County, Inc., Stuart, FL","30-Jun-11",-80.2004533,27.1449621
"76","Broome County Department of Public Transportation","Broome County Department of Public Transportation, Vestal, NY","1-Oct-20",-75.9694767,42.1000292
"77","Davenport Public Transit","Davenport Public Transit, Davenport, IA","1-Jan-18",-90.5602583,41.5778426
"78","Montgomery Area Transit System","Montgomery Area Transit System, Montgomery, AL","1-Apr-15",-86.3077368,32.3792233
"79","Village of Spring Valley Bus","Village of Spring Valley Bus, Spring Valley, NY","30-Jun-22",-74.0437521,41.1131514
"80","Sioux Falls Transit","Sioux Falls Transit, Sioux Falls, SD","18-Jun-14",-96.731265,43.5460223
"81","Newburgh Beacon Bus Corporation","Newburgh Beacon Bus Corporation, New Windsor, NY","1-Jan-15",-74.047959,41.472791
"82","City of Loveland Transit","City of Loveland Transit, Loveland, CO","12-Oct-20",-105.0767516,40.3968703
"83","Rogue Valley Transportation District","Rogue Valley Transportation District, Medford, OR","1-Sep-13",-122.8717556,42.32451
"84","Port Arthur Transit","Port Arthur Transit, Port Arthur, TX","30-Jun-22",-93.9353309,29.8695824
"85","Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit","Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit, Hampton, VA","28-Dec-08",-76.3646547,37.0138799
"86","City of Tempe Transportation Planning and Transit Division","City of Tempe Transportation Planning and Transit Division, Tempe, AZ","30-Jun-22",-111.9400054,33.4255104
"87","Northern Indiana Commuter Transportation District","Northern Indiana Commuter Transportation District, Chesterton, IN","1-Jan-12",-87.0641992,41.6105937
"88","Williamsport Bureau of Transportation","Williamsport Bureau of Transportation, Williamsport, PA","17-Feb-22",-77.0382857,41.2372418
"89","Monterey-Salinas Transit","Monterey-Salinas Transit, Monterey, CA","27-Feb-16",-121.8946761,36.6002378
"90","City of Beloit Transit System","City of Beloit Transit System, Beloit, WI","1-Mar-12",-88.993731,42.512546
"91","Washington Metropolitan Area Transit Authority","Washington Metropolitan Area Transit Authority, Washington, DC","23-Mar-09",-77.0211991,38.8851585
"92","SunLine Transit Agency","SunLine Transit Agency, Thousand Palms, CA","1-May-11",-116.3952636,33.8125457
"93","Trans-Hudson Express","Trans-Hudson Express, Jersey City, NJ","26-Apr-15",-74.038493,40.726585
"94","Santa Clara Valley Transportation Authority","Santa Clara Valley Transportation Authority, San Jose, CA","11-Jul-11",-121.8852525,37.33874
"95","Portage Area Regional Transportation Authority","Portage Area Regional Transportation Authority, Kent, OH","21-Jul-19",-81.3193978,41.1362313
"96","Monsey New Square Trails Corporation","Monsey New Square Trails Corporation, Spring Valley, NY","30-Jun-22",-74.0344662,41.1401992
"97","Golden Gate Bridge, Highway and Transportation District","Golden Gate Bridge, Highway and Transportation District, San Francisco, CA","10-Sep-12",-122.4194155,37.7749295
"98","LaCrosse Municipal Transit Utility","LaCrosse Municipal Transit Utility, LaCrosse, WI","1-Jan-12",-91.2555236,43.7923393
"99","Transport of Rockland","Transport of Rockland, Pomona, NY","1-Jan-21",-74.0564499,41.1912507
"100","City of Jefferson","City of Jefferson, Jefferson City, MO","1-May-15",-92.1735164,38.5767017
"101","South Florida Regional Transportation Authority","South Florida Regional Transportation Authority, Pompano Beach, FL","20-Apr-12",-80.134174,26.2717791
"102","GTJC","GTJC, Lynbrook, NY","31-Dec-06",-73.6717969,40.6548253
"103","City of Logan, dba: The Logan Transit District","City of Logan, dba: The Logan Transit District, Logan, UT","2-Jan-15",-111.8338359,41.7369803
"104","Hendrick Hudson Bus Lines, Inc.","Hendrick Hudson Bus Lines, Inc., Newburgh, NY","30-Jun-22",-74.0104178,41.5034271
"105","Simi Valley Transit","Simi Valley Transit, Simi Valley, CA","1-Oct-17",-118.8113015,34.285685
