"","ID","NTDID","Company_Nm","State","Urbanized Area","Population","Population Density","VOMS","VRM","fare_rev","op_exp","fare_recovery","gen_admin_salary","overhead","year","n_in_uza","VRM_UZA_share","GEOID","pct_rented","ridership","gtfs_date","gtfs_status","Division","Region","adopted_year","adopted_yet","num_agencies","num_adopted","Percent adoption of GTFS data standard","Org_Type"
"1","0001","00001","King County Department of Transportation - Metro Transit Division","WA","Seattle, WA",2712205,2844,2555,33628578,81583536,401333346,0.203281229464546,25499648,0.0635373268983236,2005,9,0.549355190154198,"80389",0.398447362128315,94982735,"15-Sep-06",1,"d9","r4",2006,FALSE,492,0,0,"City, County or Local Government Unit or Department of Transportation"
"2","0002","00002","Spokane Transit Authority","WA","Spokane, WA-ID",334858,2341,253,5031171,5847503,41136036,0.142150376375594,3063539,0.0744733644243213,2005,1,1,"83764",0.366432707881872,7688002,"19-Sep-10",1,"d9","r4",2010,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"3","0003","00003","Pierce County Transportation Benefit Area Authority","WA","Seattle, WA",2712205,2844,484,6907313,9096278,65487878,0.138900179358384,6735752,0.102854943627888,2005,9,0.112837606352834,"80389",0.398447362128315,12245514,"15-Feb-15",1,"d9","r4",2015,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"4","0005","00005","Everett Transit","WA","Seattle, WA",2712205,2844,48,1093744,1073990,12150734,0.0883888989751566,1026877,0.0845115200447973,2005,9,0.0178673610017055,"80389",0.398447362128315,1957478,"24-Aug-14",1,"d9","r4",2014,FALSE,492,0,0,"City, County or Local Government Unit or Department of Transportation"
"5","0006","00006","Yakima Transit","WA","Yakima, WA",112816,2240,45,721813,451948,5767133,0.0783661483097407,285138,0.0494418977332411,2005,1,1,"97507",0.393474227052558,1083488,"1-Aug-13",1,"d9","r4",2013,FALSE,492,0,0,"City, County or Local Government Unit or Department of Transportation"
"6","0007","00007","Lane Transit District","OR","Eugene, OR",224049,3271,111,3255960,4614359,27589852,0.167248414380766,3748319,0.135858612072294,2005,1,1,"28117",0.438905489999346,8348879,"15-Sep-06",1,"d9","r4",2006,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"7","0008","00008","Tri-County Metropolitan Transportation District of Oregon","OR","Portland, OR-WA",1583138,3340,856,27964964,60936514,293468796,0.207642225785395,28584613,0.0974025633716779,2005,3,0.872932786991889,"71317",0.401326821899922,103519979,"7-Dec-05",1,"d9","r4",2005,TRUE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"8","0011","00011","ValleyRide","ID","Boise City, ID",272625,2509,48,1272416,753682,7628427,0.0987991364405794,827911,0.108529713923985,2005,1,1,"08785",0.306753147653567,1070708,"21-Aug-17",1,"d8","r4",2017,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"9","0012","00012","Municipality of Anchorage - Public Transportation Department","AK","Anchorage, AK",225744,2863,93,2131609,3998286,21970000,0.181988438780155,1459294,0.0664221210741921,2005,2,0.991345528685929,"02305",0.427142272409891,3975074,"2-Jun-14",1,NA,NA,2014,FALSE,492,0,0,"City, County or Local Government Unit or Department of Transportation"
"10","0016","00016","Community Urban Bus Service","WA","Longview, WA-OR",60443,2250,13,215831,98735,1939171,0.0509160873383523,226818,0.116966476912041,2005,1,1,"51283",0.397850361758187,322273,"30-Jun-22",0,"d9","r4",2022,FALSE,492,0,0,"City, County or Local Government Unit or Department of Transportation"
"11","0018","00018","Ben Franklin Transit","WA",NA,NA,NA,364,2374660,2154112,23047729,0.0934630913093433,1682200,0.0729876683294914,2005,30,0.259375075434341,NA,NA,3066920,"19-Sep-17",1,"d9","r4",2017,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"12","0019","00019","Intercity Transit","WA","Olympia-Lacey, WA",143826,1564,175,2126456,2070124,18361442,0.112742996982481,2480570,0.135096687939869,2005,1,1,"65242",0.393330358368804,2869758,"19-Sep-11",1,"d9","r4",2011,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"13","0020","00020","Kitsap Transit","WA","Bremerton, WA",178369,1518,299,2618100,2618577,27865551,0.0939718364083308,2910106,0.104433822248841,2005,1,1,"09946",0.378832040416723,4580938,"13-Dec-09",1,"d9","r4",2009,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"14","0021","00021","Whatcom Transportation Authority","WA","Bellingham, WA",84324,2376,76,1335308,1009433,14861292,0.0679236367874341,2150629,0.144713460983069,2005,1,1,"06652",0.462746910015017,3382349,"7-Feb-16",1,"d9","r4",2016,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"15","0022","00022","City of Pocatello - Pocatello Regional Transit","ID","Pocatello, ID",62498,2088,14,259992,163785,1329552,0.123188111484169,116939,0.0879536866553546,2005,1,1,"70426",0.324000696682052,431111,"26-Aug-13",1,"d8","r4",2013,FALSE,492,0,0,"City, County or Local Government Unit or Department of Transportation"
"16","0023","00023","City of Seattle - Seattle Center Monorail Transit","WA","Seattle, WA",2712205,2844,8,40334,2153805,1711859,1.25816729064719,0,0,2005,9,0.000658894712695833,"80389",0.398447362128315,1506240,"1-Apr-21",1,"d9","r4",2021,FALSE,492,0,0,"City, County or Local Government Unit or Department of Transportation"
"17","0024","00024","Clark County Public Transportation Benefit Area Authority","WA","Portland, OR-WA",1583138,3340,120,3702382,4766441,25013014,0.190558442896966,2263126,0.0904779408031355,2005,3,0.115570706179654,"71317",0.401326821899922,5614951,"18-Sep-13",1,"d9","r4",2013,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"18","0025","00025","Salem Area Mass Transit District","OR","Salem, OR",207229,2994,91,2617061,2239426,19974311,0.112115306505441,1988216,0.0995386524221036,2005,1,1,"78229",0.411779278691945,5412915,"4-Mar-12",1,"d9","r4",2012,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"19","0028","00028","Pierce County Ferry Operations","WA","Seattle, WA",2712205,2844,1,40809,1616163,2000848,0.80773901865609,144484,0.0722113823738735,2005,9,0.00066665429489771,"80389",0.398447362128315,212541,"1-Sep-20",1,"d9","r4",2020,FALSE,492,0,0,"City, County or Local Government Unit or Department of Transportation"
"20","0029","00029","Snohomish County Transportation Benefit Area Corporation","WA","Seattle, WA",2712205,2844,478,8104146,14686614,66663373,0.220310094420215,8524278,0.127870487441432,2005,9,0.132389025395822,"80389",0.398447362128315,8219785,"12-Jun-10",1,"d9","r4",2010,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"21","0034","00034","Rogue Valley Transportation District","OR","Medford, OR",128780,2194,30,645168,887808,5725593,0.155059571995425,1097135,0.191619453216462,2005,1,1,"55981",0.386115017971558,1182925,"1-Sep-13",1,"d9","r4",2013,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"22","0035","00035","Washington State Ferries","WA","Seattle, WA",2712205,2844,22,950689,58457439,170254002,0.34335427251807,5920407,0.0347739667229673,2005,9,0.015530419881938,"80389",0.398447362128315,23880997,"10-Dec-15",1,"d9","r4",2015,FALSE,492,0,0,"State Government Unit or Department of Transportation"
"23","0040","00040","Central Puget Sound Regional Transit Authority","WA","Seattle, WA",2712205,2844,212,10449023,16482718,80942435,0.203635064845776,603866,0.0074604377790216,2005,9,0.170694848205909,"80389",0.398447362128315,10968661,"19-Sep-09",1,"d9","r4",2009,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"24","0043","00043","Link Transit","WA","Wenatchee, WA",55425,2081,43,1351996,324739,7372873,0.0440451096879059,956867,0.129782108005929,2005,1,1,"93862",0.351197373503283,710952,"1-Jan-13",1,"d9","r4",2013,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"25","0044","00044","Skagit Transit","WA","Mount Vernon, WA",51174,1613,40,415611,196388,4273035,0.0459598388499041,580277,0.13579973016837,2005,1,1,"60490",0.382683982683983,269053,"1-Sep-13",1,"d9","r4",2013,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"26","0045","00045","Fairbanks North Star Borough Transit","AK","Fairbanks, AK",51926,1205,11,297665,193344,2833800,0.0682278213000212,316453,0.111670901263321,2005,1,1,"28549",0.509552112078115,399056,"15-Dec-15",1,NA,NA,2015,FALSE,492,0,0,"City, County or Local Government Unit or Department of Transportation"
"27","0046","00046","South Metro Area Rapid Transit","OR","Portland, OR-WA",1583138,3340,15,368298,0,2337033,0,215633,0.0922678455973878,2005,3,0.0114965068284565,"71317",0.401326821899922,247726,"1-Jan-11",1,"d9","r4",2011,FALSE,492,0,0,"City, County or Local Government Unit or Department of Transportation"
"28","1001","10001","Rhode Island Public Transit Authority","RI","Providence, RI-MA",1174548,2332,328,7502336,19992021,77934841,0.256522252993369,5941687,0.0762391624049121,2005,2,0.809274635683616,"72505",0.424547580836061,18612675,"3-Apr-12",1,"d1","r1",2012,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"29","1002","10002","Manchester Transit Authority","NH","Manchester, NH",143549,2020,17,482627,485041,2749137,0.17643391362453,122704,0.0446336432123972,2005,1,1,"53740",0.459974273581082,412386,"30-Jun-22",0,"d1","r1",2022,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"30","1003","10003","Massachusetts Bay Transportation Authority","MA","Boston, MA-NH-RI",4032484,2323,2151,41948884,327580811,893131388,0.36677785083061,33372524,0.0373657498195551,2005,5,0.92318817245429,"09271",0.407459577807272,393515140,"7-Apr-08",1,"d1","r1",2008,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"31","1004","10004","Brockton Area Transit Authority","MA","Boston, MA-NH-RI",4032484,2323,81,1161332,3047694,11708260,0.260302897270816,458535,0.0391633769663468,2005,5,0.0255579616061463,"09271",0.407459577807272,3020216,"1-Jan-08",1,"d1","r1",2008,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"32","1005","10005","Lowell Regional Transit Authority","MA","Boston, MA-NH-RI",4032484,2323,68,911105,929149,7565082,0.12282074404481,602405,0.0796296722229845,2005,5,0.0200511021905604,"09271",0.407459577807272,1417934,"1-Jul-09",1,"d1","r1",2009,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"33","1006","10006","Southeastern Regional Transit Authority","MA","New Bedford, MA",146730,2347,66,1241600,1749796,12111552,0.144473309448698,238820,0.0197183647479695,2005,1,1,"61786",0.448035160289555,1610179,"22-Apr-13",1,"d1","r1",2013,FALSE,492,0,0,"Independent Public Agency or Authority of Transit Service"
"34","1007","10007","Berkshire Regional Transit Authority","MA","Pittsfield, MA",52772,1560,17,819888,483689,3387177,0.142800036726749,347778,0.102674882357786,2005,1,1,"69778",0.377074642762048,508776,"1-Jul-09",1,"d1","r1",2009,FALSE,492,0,0,"Subsidiary Unit of a Transit Agency, Reporting Separately"
