AK,Fairbanks North Star Borough Transit
AK,Municipality of Anchorage - Public Transportation Department
AK,Other
AL,Birmingham-Jefferson County Transit Authority
AL,"City of Huntsville, Alabama - Public Transportation Division"
AL,Lee-Russell Council of Governments
AL,Montgomery Area Transit System
AL,The Wave Transit System
AL,Tuscaloosa County Parking and Transit Authority
AL,Other
AR,Central Arkansas Transit Authority
AR,Fort Smith Transit
AR,Ozark Regional Transit
AR,"University of Arkansas, Fayetteville"
AR,Other
AZ,City of Glendale Transit
AZ,City of Phoenix Public Transit Department
AZ,City of Tempe Transportation Planning and Transit Division
AZ,City of Tucson
AZ,Coconino County Transportation Services
AZ,"Regional Public Transportation Authority, dba: Valley Metro"
AZ,Yuma Metropolitan Planning Organization
AZ,Other
CA,Alameda-Contra Costa Transit District
CA,Altamont Commuter Express
CA,Antelope Valley Transit Authority
CA,Central Contra Costa Transit Authority
CA,Chico Area Transit System City of Chico
CA,Chula Vista Transit
CA,City of Alameda Ferry Services
CA,City of Commerce Municipal Buslines
CA,City of Corona
CA,City of Fairfield - Fairfield-Suisun Transit
CA,City of Gardena Transportation Department
CA,City of Lodi - Transit Division
CA,City of Lompoc - Lompoc Transit
CA,City of Los Angeles Department of Transportation
CA,City of Porterville
CA,City of San Luis Obispo
CA,City of Santa Rosa
CA,City of Union City Transit Division
CA,City of Vallejo Transportation Program
CA,City of Visalia - Visalia City Coach
CA,Culver City Municipal Bus Lines
CA,Eastern Contra Costa Transit Authority
CA,Foothill Transit
CA,Fresno Area Express
CA,Golden Empire Transit District
CA,"Golden Gate Bridge, Highway and Transportation District"
CA,LACMTA - Small Operators
CA,Laguna Beach Municipal Transit
CA,Livermore / Amador Valley Transit Authority
CA,Long Beach Transit
CA,Los Angeles County Metropolitan Transportation Authority
CA,Merced County Transit
CA,Modesto Area Express
CA,Montebello Bus Lines
CA,Monterey-Salinas Transit
CA,MTS Contract Services
CA,Napa County Transportation Planning Agency
CA,National City Transit
CA,North San Diego County Transit District
CA,Norwalk Transit System
CA,Omnitrans
CA,Orange County Transportation Authority
CA,Peninsula Corridor Joint Powers Board
CA,Placer County Department of Public Works
CA,Redding Area Bus Authority
CA,Riverside Transit Agency
CA,Roseville Transit
CA,Sacramento Regional Transit District
CA,San Diego Metropolitan Transit System
CA,"San Diego Trolley, Inc."
CA,San Francisco Bay Area Rapid Transit District
CA,San Francisco Municipal Railway
CA,San Joaquin Regional Transit District
CA,San Mateo County Transit District
CA,Santa Barbara Metropolitan Transit District
CA,Santa Clara Valley Transportation Authority
CA,Santa Clarita Transit
CA,Santa Cruz Metropolitan Transit District
CA,Santa Maria Area Transit
CA,Santa Monica's Big Blue Bus
CA,Simi Valley Transit
CA,Sonoma County Transit
CA,South Coast Area Transit
CA,Southern California Regional Rail Authority
CA,SunLine Transit Agency
CA,Thousand Oaks Transit
CA,Torrance Transit System
CA,"University of California, Davis"
CA,Ventura Intercity Service Transit Authority
CA,Victor Valley Transit Authority
CA,Western Contra Costa Transit Authority
CA,Yolo County Transportation District
CA,Yuba-Sutter Transit Authority
CA,Other
CO,City of Greeley - Transit Services
CO,City of Loveland Transit
CO,Colorado Springs Transit System
CO,Denver Regional Transportation District
CO,Mesa County
CO,Pueblo Transit System
CO,Transfort
CO,Other
CT,Connecticut Department of Transportation
CT,Connecticut Transit - Hartford Division
CT,Connecticut Transit - New Haven Division
CT,Connecticut Transit - Stamford Division
CT,Greater Bridgeport Transit Authority
CT,Housatonic Area Regional Transit
CT,Middletown Transit District
CT,Milford Transit District
CT,"Northeast Transportation Company, Inc."
CT,Norwalk Transit District
CT,Southeast Area Transit
CT,The Greater New Haven Transit District
CT,Other
DC,Washington Metropolitan Area Transit Authority
DC,Other
DE,Delaware Transit Corporation
DE,Other
FL,Bay County Council On Aging Bay Coordinated Transportation
FL,"Board of County Commissioners, Palm Beach County, PalmTran, Inc."
FL,Broward County Mass Transit Division
FL,Central Florida Regional Transportation Authority
FL,"City of Ocala, Florida"
FL,City of Tallahassee
FL,Collier Area Transit
FL,"Council on Aging of Martin County, Inc."
FL,"Council on Aging of St. Lucie, Inc."
FL,"County of Volusia, dba: VOTRAN"
FL,Escambia County Area Transit
FL,Gainesville Regional Transit System
FL,Hernando County Board of County Commissioners
FL,Hillsborough Area Regional Transit Authority
FL,Jacksonville Transportation Authority
FL,Lakeland Area Mass Transit District
FL,Lee County Transit
FL,Manatee County Area Transit
FL,Miami-Dade Transit
FL,Okaloosa County Board of County Commissioners
FL,Pasco County Public Transportation
FL,Pinellas Suncoast Transit Authority
FL,Polk County Transit Services Division - Polk County Board of County Commissioners
FL,Sarasota County Area Transit
FL,South Florida Regional Transportation Authority
FL,Space Coast Area Transit
FL,Other
GA,Albany Transit System
GA,Athens Transit System
GA,Augusta Richmond County Transit Department
GA,Chatham Area Transit Authority
GA,City of Canton Transit
GA,City of Rome Transit Department
GA,Cobb County Department of Transportation Authority
GA,Georgia Regional Transportation Authority
GA,Gwinnett County Board of Commissioners
GA,Macon-Bibb County Transit Authority
GA,Metra Transit System
GA,Metropolitan Atlanta Rapid Transit Authority
GA,Other
HI,City and County of Honolulu Department of Transportation Services
HI,Other
IA,Ames Transit Agency
IA,Bettendorf Transit System
IA,City of Dubuque
IA,Coralville Transit System
IA,Davenport Public Transit
IA,Des Moines Metropolitan Transit Authority
IA,Five Seasons Transportation and Parking
IA,Iowa City Transit
IA,Metropolitan Transit Authority of Black Hawk County
IA,Sioux City Transit System
IA,University of Iowa
IA,Other
ID,City of Pocatello - Pocatello Regional Transit
ID,ValleyRide
ID,Other
IL,Bloomington-Normal Public Transit System
IL,Champaign-Urbana Mass Transit District
IL,Chicago Transit Authority
IL,City of Danville/Danville Mass Transit
IL,Decatur Public Transit System
IL,Greater Peoria Mass Transit District
IL,Madison County Transit District
IL,Northeast Illinois Regional Commuter Railroad Corporation
IL,Pace - Suburban Bus Division
IL,Rock Island County Metropolitan Mass Transit District
IL,Rockford Mass Transit District
IL,Springfield Mass Transit District
IL,Other
IN,Bloomington Public Transportation Corporation
IN,City of Anderson Transportation System
IN,Fort Wayne Public Transportation Corporation
IN,Gary Public Transportation Corporation
